time,T.obs,Hr.obs,pr.obs,Rad.obs,u.obs,u_gr.obs,Td.obs,EPenman.obs,pp_obs,prono_PP_dia_0,prono_PP_dia_1,prono_PP_dia_2,prono_PP_dia_3,prono_PP_dia_4,prono_PP_dia_5,prono_PP_dia_6,prono_Tm_dia_0,prono_Tm_dia_1,prono_Tm_dia_2,prono_Tm_dia_3,prono_Tm_dia_4,prono_Tm_dia_5,prono_Tm_dia_6,prono_Tm_dia_7,Aporte_m3s,Nivel_emb,NO3_lab,SS_105,NO2_lab,ODsupC,TempAmb,TurSupC,PO4_lab,SS_550,NT,NH_lab,Enteroc,Ptot_lab,Cianobac,Clorof_A,VientoI,T_sup,CondsupC,MicrtEli,EscColi,PROFSITI,SatSupC,pHsupC,Secc_sup,target
2021-02-24,25.770833333333332,67.16666666666667,1009.5375,313.4583333333333,2.688541666666667,120.6875,18.658333333333335,0.1129166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.60000038146973,25.10000038146973,25.29999923706055,26.79999923706055,27.20000076293945,27.20000076293945,27.79999923706055,28.29999923706055,2491.4285714285716,33.26714285714286,0.58037116644969,4.719796866143137,0.017221904360445853,8.60563377216079,31.121643291487132,85.40388612284154,0.06940684739768181,2.4,2.6,0.02,17.151695022337623,0.20025495573959184,21.999303656202933,140.4845162445436,5.707460219285908,27.379408713715883,78.67452722530099,15.05203120793794,7.0497745499440825,2.2,110.90658712730792,8.62596571430734,0.4713660546786665,3.0
2021-02-25,25.85,54.791666666666664,1009.3166666666666,315.90625,1.6354166666666667,89.83333333333333,15.408333333333331,0.1145833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.70000076293945,25.29999923706055,26.20000076293945,27.29999923706055,27.29999923706055,27.60000038146973,28.60000038146973,28.60000038146973,2357.1428571428573,33.11571428571428,0.5715238221678824,5.548716474612719,0.01689267286623416,8.848192065569782,31.93902090455672,123.73869656555982,0.06871898919339696,2.4,2.6,0.02,18.007505444186723,0.19488046225019542,34.06361277314543,220.48378605405267,6.094240250612466,27.510206727944613,79.15483709068823,20.99411867656176,7.007801821165991,2.2,114.09571375453375,8.799705142880931,0.4430586166999425,3.0
2021-02-26,26.2375,58.041666666666664,1008.3541666666666,316.0,1.5791666666666666,78.45833333333333,16.875,0.1108333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.70000076293945,26.0,26.29999923706055,26.79999923706055,28.29999923706055,28.5,28.20000076293945,2222.857142857143,32.964285714285715,0.5632948752602415,6.516707499212184,0.016599968553439624,9.060480747403757,32.67952426604493,162.60701549799552,0.06779368527124405,2.4,2.6,0.02,17.547262575854017,0.1892189002368582,46.20230687313304,302.1518669003672,5.944702653465939,27.636551570858742,79.73167008244384,26.835799903598,7.555874182399084,2.2,116.85780867058371,8.98882285716448,0.4119065392140566,3.0
2021-02-27,26.733333333333334,66.16666666666667,1010.7583333333332,276.84375,2.236458333333333,87.69791666666667,19.55,0.0958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.70000076293945,26.79999923706055,26.5,26.79999923706055,28.10000038146973,28.0,26.89999961853027,26.60000038146973,2088.5714285714284,32.81285714285714,0.5556645875107182,7.59356291433994,0.016341278645342436,9.23492690531716,33.29690550044158,197.76754059678785,0.06664849229438496,2.4,2.6,0.02,16.143944994362993,0.18330595398622068,57.17064604902912,375.111861217473,5.325074667250033,27.75955653528691,80.38089541897574,32.03123427552853,8.419955453026816,2.2,119.10468156028996,9.189474285730505,0.3827715752496661,3.0
2021-02-28,27.183333333333337,64.33333333333333,1009.8458333333332,300.21875,1.1510416666666667,78.22916666666667,19.4875,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.70000076293945,26.70000076293945,27.10000038146973,27.89999961853027,28.39999961853027,28.0,27.5,26.79999923706055,1954.2857142857144,32.66142857142857,0.5486132207032642,8.749075694394396,0.01611409036522278,9.363957626964424,33.70058921075662,224.97896953857628,0.06530096692598156,2.4358225784730436,2.6,0.02,14.17053127673715,0.17717730778492352,65.72389039369699,428.98687143935535,4.541469410062227,27.880334914057784,81.07838231869181,36.03458117883524,9.326009452432633,2.2,120.74814210848467,9.397814857151507,0.3605154778354281,3.0
2021-03-01,26.8625,71.125,1006.1458333333334,297.4791666666667,2.3854166666666665,114.125,20.870833333333337,0.1041666666666666,0.0,0.0,0.0,0.4000000059604645,8.100000381469727,1.200000047683716,0.0,0.0,26.39999961853027,26.89999961853027,27.5,26.70000076293945,26.70000076293945,26.39999961853027,26.10000038146973,25.5,1820.0,32.51,0.5421210366218302,9.953038813773958,0.015915890936360845,9.44,33.8,240.0,0.06376866582919573,2.672802677245982,2.6,0.02,12.0,0.17086864591960724,70.6173,453.4,3.9,28.0,81.8,38.3,10.0,2.2,121.7,9.61,0.35,3.0
2021-03-02,27.758333333333336,71.54166666666667,1006.3375,251.375,1.8010416666666669,94.25,21.8,0.0858333333333333,0.0,0.300000011920929,1.899999976158142,4.300000190734863,0.4000000059604645,0.0,0.0,0.0,26.60000038146973,27.29999923706055,27.29999923706055,25.60000038146973,25.39999961853027,25.89999961853027,27.10000038146973,27.29999923706055,1730.0,32.52428571428571,0.5361682970503678,11.17524524687703,0.015744167582036808,9.44,33.53264439425008,239.68744434977572,0.06206914566718927,2.9639540953150028,2.6,0.02,9.945221315875616,0.16441565267691244,70.6173,441.1912594853905,3.6376745412562568,28.11966508594222,81.8,38.3,10.225613603130718,2.093959915424888,121.7,9.61,0.354881308014704,1.0
2021-03-03,27.729166666666668,74.29166666666667,1007.525,267.8958333333333,2.7531250000000003,122.66666666666669,22.52916666666667,0.0933333333333333,5.0,14.30000019073486,7.400000095367432,0.0,0.0,0.0,0.0,0.0,26.10000038146973,25.89999961853027,25.20000076293945,24.5,24.5,25.89999961853027,27.29999923706055,28.5,1640.0,32.53857142857143,0.530735263772828,12.38548796810202,0.015596407525530858,9.42446074559215,32.9483566118589,225.2905737249297,0.06021996310312407,3.3048400414489114,2.6,0.02,8.078631674890461,0.15785401234347965,67.03951327286153,398.0683030895031,3.7150810824056064,28.224336330422236,81.8,36.596481987600164,10.017427521300005,1.988294216432406,121.44226563384919,9.61,0.3739932211215226,1.0
2021-03-04,23.6375,84.29166666666667,1005.7666666666668,125.375,3.2854166666666664,173.75,20.766666666666666,0.05625,9.0,12.89999961853027,1.100000023841858,0.0,0.0,0.0,0.0,0.0,25.39999961853027,24.20000076293945,22.39999961853027,22.5,24.39999961853027,26.10000038146973,28.5,30.10000038146973,1550.0,32.55285714285714,0.5258021985731621,13.553559951847337,0.01547009799012318,9.347478248722792,32.12505279424691,199.1567739545655,0.05823867480016201,3.6910237244165147,2.6,0.02,6.41255910227159,0.15121940920594942,59.64539174300482,332.95569415831227,4.023702658118085,28.224336330422236,81.8,33.134701614931615,9.447741702001435,1.883986288587999,120.4222064829484,9.61,0.40496397180510346,1.0
2021-03-05,24.066666666666663,79.58333333333333,1005.3291666666668,232.875,4.789583333333334,174.92708333333334,20.016666666666666,0.10125,0.0,1.600000023841858,0.0,0.0,0.0,0.0,0.0,0.0,23.5,21.79999923706055,22.0,23.89999961853027,24.20000076293945,23.60000038146973,24.79999923706055,25.60000038146973,1460.0,32.567142857142855,0.5213493632353212,14.649254172511387,0.01536272619909396,9.235889317020721,31.14064908283457,163.63343086778684,0.05614283742146494,4.118068352986619,2.6,0.02,4.959331623246055,0.14454752755096242,49.44865613000438,254.77799603779215,4.4550223030637275,28.13977619403146,82.00993249979162,28.367910559028736,8.588856092728577,1.7820195174571105,118.95655134813491,9.520030470210793,0.4454217925500941,1.0
